name,gs_id,affiliation,h_index,i10_index,cited_by,pub_count,year,cites,day_added
Aaron Cook,xiG6moYAAAAJ,"Associate (Adjunct) Professor, University of Kentucky",24,48,2465,145,2007,12,2021-10-05
Aaron Cook,xiG6moYAAAAJ,"Associate (Adjunct) Professor, University of Kentucky",24,48,2465,145,2008,22,2021-10-05
Aaron Cook,xiG6moYAAAAJ,"Associate (Adjunct) Professor, University of Kentucky",24,48,2465,145,2009,33,2021-10-05
Aaron Cook,xiG6moYAAAAJ,"Associate (Adjunct) Professor, University of Kentucky",24,48,2465,145,2010,65,2021-10-05
Aaron Cook,xiG6moYAAAAJ,"Associate (Adjunct) Professor, University of Kentucky",24,48,2465,145,2011,80,2021-10-05
Aaron Cook,xiG6moYAAAAJ,"Associate (Adjunct) Professor, University of Kentucky",24,48,2465,145,2012,93,2021-10-05
Aaron Cook,xiG6moYAAAAJ,"Associate (Adjunct) Professor, University of Kentucky",24,48,2465,145,2013,124,2021-10-05
Aaron Cook,xiG6moYAAAAJ,"Associate (Adjunct) Professor, University of Kentucky",24,48,2465,145,2014,123,2021-10-05
Aaron Cook,xiG6moYAAAAJ,"Associate (Adjunct) Professor, University of Kentucky",24,48,2465,145,2015,148,2021-10-05
Aaron Cook,xiG6moYAAAAJ,"Associate (Adjunct) Professor, University of Kentucky",24,48,2465,145,2016,174,2021-10-05
Aaron Cook,xiG6moYAAAAJ,"Associate (Adjunct) Professor, University of Kentucky",24,48,2465,145,2017,218,2021-10-05
Aaron Cook,xiG6moYAAAAJ,"Associate (Adjunct) Professor, University of Kentucky",24,48,2465,145,2018,254,2021-10-05
Aaron Cook,xiG6moYAAAAJ,"Associate (Adjunct) Professor, University of Kentucky",24,48,2465,145,2019,283,2021-10-05
Aaron Cook,xiG6moYAAAAJ,"Associate (Adjunct) Professor, University of Kentucky",24,48,2465,145,2020,370,2021-10-05
Aaron Cook,xiG6moYAAAAJ,"Associate (Adjunct) Professor, University of Kentucky",24,48,2465,145,2021,374,2021-10-05
Abby Bailey,b25DsGsAAAAJ,University of Kentucky,10,10,395,55,2013,1,2021-10-05
Abby Bailey,b25DsGsAAAAJ,University of Kentucky,10,10,395,55,2014,8,2021-10-05
Abby Bailey,b25DsGsAAAAJ,University of Kentucky,10,10,395,55,2015,24,2021-10-05
Abby Bailey,b25DsGsAAAAJ,University of Kentucky,10,10,395,55,2016,23,2021-10-05
Abby Bailey,b25DsGsAAAAJ,University of Kentucky,10,10,395,55,2017,44,2021-10-05
Abby Bailey,b25DsGsAAAAJ,University of Kentucky,10,10,395,55,2018,61,2021-10-05
Abby Bailey,b25DsGsAAAAJ,University of Kentucky,10,10,395,55,2019,65,2021-10-05
Abby Bailey,b25DsGsAAAAJ,University of Kentucky,10,10,395,55,2020,91,2021-10-05
Abby Bailey,b25DsGsAAAAJ,University of Kentucky,10,10,395,55,2021,67,2021-10-05
Adam Sieg,PfbBReoAAAAJ,University of Kentucky,8,8,253,30,2012,7,2021-10-05
Adam Sieg,PfbBReoAAAAJ,University of Kentucky,8,8,253,30,2013,10,2021-10-05
Adam Sieg,PfbBReoAAAAJ,University of Kentucky,8,8,253,30,2014,7,2021-10-05
